Time,Open,High,Low,Last,Change,%Chg,Volume
05/15/2020,5328.7,5412.4,5328.7,5404.8,76.1,+1.43%,0
05/14/2020,5421.7,5421.7,5328.7,5328.7,-93.2,-1.72%,0
05/13/2020,5403,5421.9,5301.9,5421.9,18.9,+0.35%,0
05/12/2020,5461.2,5461.4,5374,5403,-58.2,-1.07%,0
05/11/2020,5391.1,5489.5,5391.1,5461.2,70.1,+1.30%,0
05/08/2020,5364.2,5428,5364.2,5391.1,26.9,+0.50%,0
05/07/2020,5384.6,5388.3,5347.3,5364.2,-20.4,-0.38%,0
05/06/2020,5407.1,5408.6,5345,5384.6,-22.5,-0.42%,0
05/05/2020,5319.8,5407.1,5319.8,5407.1,87.3,+1.64%,0
05/04/2020,5245.9,5328.4,5169.6,5319.8,73.9,+1.41%,0
05/01/2020,5522.4,5522.4,5245.9,5245.9,-276.5,-5.01%,0
04/30/2020,5393.4,5549.1,5393.4,5522.4,129,+2.39%,0
04/29/2020,5313.1,5393.4,5312.7,5393.4,80.3,+1.51%,0
04/28/2020,5321.4,5373.8,5272.8,5313.1,-8.3,-0.16%,0
04/27/2020,5242.6,5329.4,5214.8,5321.4,78.8,+1.50%,0
04/24/2020,5217.1,5263.8,5207.5,5242.6,25.5,+0.49%,0
04/23/2020,5221.2,5282.6,5181.7,5217.1,-4.1,-0.08%,0
04/22/2020,5221.3,5251.7,5100.7,5221.2,-0.1,0.00%,0
04/21/2020,5353,5353,5214.5,5221.3,-131.7,-2.46%,0
04/20/2020,5486.3,5490.6,5353,5353,-134.5,-2.45%,0
04/17/2020,5416.3,5563.6,5416.3,5487.5,71.2,+1.31%,0
04/16/2020,5466.7,5466.7,5345,5416.3,-50.4,-0.92%,0
04/15/2020,5488.1,5533,5416.4,5466.7,-21.4,-0.39%,0
04/14/2020,5387.3,5490.7,5360,5488.1,100.8,+1.87%,0
04/09/2020,5206.9,5387.3,5206.9,5387.3,180.4,+3.46%,0
04/08/2020,5252.3,5321,5121.9,5206.9,-45.4,-0.86%,0
04/07/2020,5286.8,5423.1,5187,5252.3,-34.5,-0.65%,0
04/06/2020,5067.5,5302.2,5067.5,5286.8,219.3,+4.33%,0
04/03/2020,5154.3,5246.8,5022.4,5067.5,-86.8,-1.68%,0
04/02/2020,5258.6,5258.6,5065.2,5154.3,-104.3,-1.98%,0
04/01/2020,5076.8,5272.3,5076.8,5258.6,181.8,+3.58%,0
03/31/2020,5181.4,5366.4,5005.8,5076.8,-104.6,-2.02%,0
03/30/2020,4842.4,5181.4,4833.1,5181.4,339,+7.00%,0
03/27/2020,5113.3,5236.7,4842.4,4842.4,-270.9,-5.30%,0
03/26/2020,4998.1,5174.4,4998.1,5113.3,115.2,+2.30%,0
03/25/2020,4735.7,5024.5,4735.7,4998.1,262.4,+5.54%,0
03/24/2020,4546,4735.7,4546,4735.7,189.7,+4.17%,0
03/23/2020,4816.6,4816.6,4402.5,4546,-270.6,-5.62%,0
03/20/2020,4782.9,5016.1,4782.9,4816.6,33.7,+0.70%,0
03/19/2020,4953.2,5102.5,4741,4782.9,-170.3,-3.44%,0
03/18/2020,5293.4,5293.4,4888.1,4953.2,-340.2,-6.43%,0
03/17/2020,5002,5303.7,4997.3,5293.4,291.4,+5.83%,0
03/16/2020,5539.3,5539.3,5002,5002,-537.3,-9.70%,0
03/13/2020,5304.6,5539.3,4873.7,5539.3,234.7,+4.42%,0
03/12/2020,5725.9,5725.9,5290,5304.6,-421.3,-7.36%,0
03/11/2020,5939.6,5972.5,5725.9,5725.9,-213.7,-3.60%,0
03/10/2020,5760.6,5939.6,5538.9,5939.6,179,+3.11%,0
03/09/2020,6216.2,6216.2,5760.6,5760.6,-455.6,-7.33%,0
03/06/2020,6395.7,6395.7,6216.2,6216.2,-179.5,-2.81%,0
03/05/2020,6325.4,6447.1,6325.4,6395.7,70.3,+1.11%,0
03/04/2020,6435.7,6435.7,6310.2,6325.4,-110.3,-1.71%,0
03/03/2020,6391.5,6524.3,6391.5,6435.7,44.2,+0.69%,0
03/02/2020,6438.9,6438.9,6245.2,6391.5,-49.7,-0.77%,0
02/28/2020,6657.9,6657.9,6426.8,6441.2,-216.7,-3.25%,0
02/27/2020,6708.1,6728.2,6630.5,6657.9,-50.2,-0.75%,0
02/26/2020,6866.6,6866.6,6690.1,6708.1,-158.5,-2.31%,0
02/25/2020,6978.3,6978.3,6800,6866.6,-111.7,-1.60%,0
02/24/2020,7139,7139,6967.9,6978.3,-160.7,-2.25%,0
02/21/2020,7162.5,7162.6,7135.7,7139,-23.5,-0.33%,0
02/20/2020,7144.6,7197.2,7144.6,7162.5,17.9,+0.25%,0
